source,target,weight
berry,gur,1709
berry,lemon,4621
berry,sugar,16122
berry,butter,7328
berry,egg,6742
berry,margarine,1144
berry,mix,594
berry,cinnamon,2791
berry,cream,4885
berry,extract,3135
berry,flour,6607
berry,gra,1522
berry,milk,5949
berry,corn,2346
berry,vanilla,2487
berry,powder,4520
berry,salt,7763
berry,shortening,381
berry,water,4981
berry,apple,2725
berry,marshmallow,321
berry,nut,3689
berry,cherry,606
berry,wine,1041
berry,oat,1535
berry,tapioca,135
berry,coffee,93
berry,half,514
berry,mint,1041
berry,pepper,835
berry,gelatin,736
berry,banana,2180
berry,ladyfinger,95
berry,syrup,794
berry,sherry,30
berry,cider,238
berry,flake,61
berry,ginger,644
berry,lime,1333
berry,nectarine,137
berry,ngo,438
berry,honey,2150
berry,soda,2415
berry,wheat,1095
berry,bean,341
berry,brandy,287
berry,chocolate,588
berry,pecan,1436
berry,ham,922
berry,orange,1832
berry,clove,445
berry,molasse,162
berry,pastis,2
berry,pea,534
berry,pernod,3
berry,seed,1019
berry,vodka,604
berry,currant,135
berry,creme,216
berry,rice,272
berry,kiwi,577
berry,melon,140
berry,papaya,91
berry,whip,995
berry,cheese,1220
berry,ale,257
berry,liquid,18
berry,filet sea bass,1
berry,japanese,1
berry,oil,2764
berry,potato,168
berry,shallot,242
berry,raisin,797
berry,yeast,122
berry,sauce,938
berry,quince,2
berry,rhubarb,406
berry,vermouth,18
berry,sake,6
berry,marnier,274
berry,apricot,71
berry,carrot,302
berry,date,209
berry,fig,79
berry,marmalade,10
berry,prune,31
berry,pumpkin,194
berry,tomato,158
berry,zucchini,65
berry,celery,585
berry,cake,212
berry,blackberrie,46
berry,almond,56
berry,anise,38
berry,mandarin,225
berry,jicama,35
berry,broth,282
berry,rosemary,189
berry,garlic,448
berry,green,108
berry,leaf,160
berry,onion,1540
berry,tarragon,63
berry,turkey,28
berry,mesclun,16
berry,mustard,497
berry,radicchio,17
berry,ground,2421
berry,lettuce,305
berry,liqueur,196
berry,vinegar,273
berry,bacon,128
berry,spinach,276
berry,cantaloupe,261
berry,fillet,41
berry,parsley,299
berry,radish,38
berry,avocado,161
berry,mushroom,84
berry,pudding,218
berry,top,135
berry,kirsch,67
berry,juice,209
berry,rum,465
berry,curacao,36
berry,bourbon,61
berry,cashew,134
berry,guava,25
berry,mayonnaise,373
berry,cardamom,92
berry,mascarpone,51
berry,tea,118
berry,piece,74
berry,sec,268
berry,yoghurt,19
berry,tofu,131
berry,spice,555
berry,white,751
berry,savory,10
berry,thyme,282
berry,navel,95
berry,breast,236
berry,bay,68
berry,mace,46
berry,eel,328
berry,chili,40
berry,amaretto,115
berry,red,235
berry,beef,51
berry,head,15
berry,ketchup,36
berry,chive,76
berry,sage,207
